descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,LYON CIUDAD LA SALLE,T1 MORTERO PUNTO FIJO ESCALERA 1,Contratos,2023-03-08 00:00:00
BOGOTA ,LYON 2 CIUDAD LA SALLE,"T3 ARMADO, ENCOFRADO Y FUNDIDA DADOS Y VIGAS",Mano de obra,2023-04-10 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 LAVADO ESTRUCTURA APARTAMENTOS PISO 1-22,Materiales,2023-05-18 00:00:00
BOGOTA ,PASEO SAN RAFAEL,Inicio de obra,Diseños,2023-08-25 00:00:00
BOGOTA ,PROVENZA PRESTIGE,T3 Aseo para entrega,Contratos,2023-03-08 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 VIGA BORDILLO BALCONES P1-12,Materiales,2023-05-11 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,Z.SOCIAL CH - ARMADA Y FUNDIDA PILOTES KELLY,Materiales,2023-03-06 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 LAVADO ESTRUCTURA APARTAMENTOS PISO 1-22,Materiales,2023-05-17 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 OTRAS BAJANTES,Otra,2023-05-30 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,Izaje TG1 Torre 1,Equipos,2023-04-24 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 MESONES COCINA Y BAÑO,Materiales,2023-10-17 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 MAMPOSTERIA CUARTO MAQUINAS,Otra,2023-06-07 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO ZC - EXCAVACION MANUAL DE VIGAS,Materiales,2023-03-06 00:00:00
BOGOTA ,PASEO SAN RAFAEL,Inicio de obra,Contratos,2023-08-25 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 MAMPOSTERÍA PUNTO FIJO PISO 1-22,Materiales,2023-05-17 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 MAMP FACHADA,Mano de obra,2023-03-03 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,EC1 DRYWALL,Diseños,2023-08-16 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO ZD - EXCAVACION CIELO ABIERTO CON TALUDES,Materiales,2023-03-06 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 CARGUE DE PISO APARTAMENTO PISO 1-22,Contratos,2023-03-01 00:00:00
BOGOTA ,CADIZ,T3 MESON COCINAyESTUFA,Materiales,2023-06-14 00:00:00
